studyid,site,treatment,collection_date,sample size (reps),planting density (shoots / area),tank volume (L),light hours,dark hours,surface_irradiance,si_units,penetrating irradiance,pi_units,%SI,mean DLI (mol m-2day-1),temperature_c,salinity_psu,pH,turbidity (NTU),NO3 addition,target NO3,measured NO3,NH4 addition,target NH4,measured NH4,measured DIN,added PO4,measured PO4,grain size (µM),DIC,% organic matter,Fe content,sulphide,driver notes,other covariates,light-temperature,exp setup,seasonal data?,pen_light,surface_light,light_hours,mean_dli,author,pub_year,lat,lon,DLI,clean_temp,parsed_collection_date
24,"Gullmars fjord, Sweden",LL + pooled T,2014-09 (no acclimation time indicated),10,10 / (38 x 29 cm),42,12,12,calculate,NA,69,µmol photos m-2 s-1,11,3.1 ± 0.30 SD,pooled: 12 or 20,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,69,NA,12,3.1,Eriander,2017,58.261833,11.4935,2.9808,12,2014-09-01
24,"Gullmars fjord, Sweden",LT + pooled light,2014-09 (no acclimation time indicated),15,10 / (38 x 29 cm),42,12,12,calculate,NA,pooled 115 or 69 or 230,µmol photos m-2 s-1,calculate,pooled: 10.2 ± 0.84 SD or 5.1 ± 0.67 SD or 3.1 ± 0.30 SD,12,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,115,NA,12,10.2,Eriander,2017,58.261833,11.4935,4.968,12,2014-09-01
24,"Gullmars fjord, Sweden",HT + pooled light,2014-09 (no acclimation time indicated),15,10 / (38 x 29 cm),42,12,12,calculate,NA,pooled 115 or 69 or 230,µmol photos m-2 s-1,calculate,pooled: 10.2 ± 0.84 SD or 5.1 ± 0.67 SD or 3.1 ± 0.30 SD,20,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,115,NA,12,10.2,Eriander,2017,58.261833,11.4935,4.968,20,2014-09-01
24,"Gullmars fjord, Sweden",LT + all prior light + no light,2014-09 (no acclimation time indicated),15,10 / (38 x 29 cm),42,0,24,0,µmol photos m-2 s-1,0,µmol photos m-2 s-1,0,NA,12,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,0,0,0,NA,Eriander,2017,58.261833,11.4935,0,12,2014-09-01
24,"Gullmars fjord, Sweden",HT + all prior light + no light,2014-09 (no acclimation time indicated),15,10 / (38 x 29 cm),42,0,24,0,µmol photos m-2 s-1,0,µmol photos m-2 s-1,0,NA,20,range: 23 - 33; mean: 27,NA,np,np,np,np,np,np,np,didn't check,NA,NA,NA,np,NA,NA,NA,"have data on change from canopy to bottom in %surface irradiance; there were epiphytes, seemed equal across treatments; back calculated surface irradiance; used local water in aquaria",NA,light; temperature,lab mesocosm,no,0,0,0,NA,Eriander,2017,58.261833,11.4935,0,20,2014-09-01
78,"Isefjorden, Denmark",LL + C,2011-09 (1 week acclimation),3,14 / (20 L),20,16,8,np,np,26 ± 3 SD,µmol photos m-2 s-1,NA,NA,15,20,np,np,np,np,np,0,0 µM,0.8 ± 0.2 μM  SD,didn't check,NA,NA,np,np,np,NA,NA,NA,NA,light,lab mesocosm,no,26,NA,16,NA,Villazan et al.,2013,55.8100839,11.7983438,1.4976,15,2011-09-01
78,"Isefjorden, Denmark",LL + N,2011-09 (1 week acclimation),3,14 / (20 L),20,16,8,np,np,26 ± 3 SD,µmol photos m-2 s-1,NA,NA,15,20,np,np,np,np,np,150 µmol aquarium-1 d-1,10 µM,11.2 ± 0.3 μM  SD,didn't check,NA,NA,np,np,np,NA,NA,measured NH4 immediately after addition,NA,light; nutrients,lab mesocosm,no,26,NA,16,NA,Villazan et al.,2013,55.8100839,11.7983438,1.4976,15,2011-09-01
78,"Isefjorden, Denmark",LL + NN,2011-09 (1 week acclimation),3,14 / (20 L),20,16,8,np,np,26 ± 3 SD,µmol photos m-2 s-1,NA,NA,15,20,np,np,np,np,np,375 µmol aquarium-1 d-,25 µM,24.7 ± 0.4 μM  SD,didn't check,NA,NA,np,np,np,NA,NA,measured NH4 immediately after addition,NA,light; nutrients,lab mesocosm,no,26,NA,16,NA,Villazan et al.,2013,55.8100839,11.7983438,1.4976,15,2011-09-01
78,"Isefjorden, Denmark",HL + C,2011-09 (1 week acclimation),3,14 / (20 L),20,16,8,np,np,70 ± 9 SD,µmol photos m-2 s-1,NA,NA,15,20,np,np,np,np,np,0,0 µM,0.8 ± 0.2 μM  SD,didn't check,NA,NA,np,np,np,NA,NA,NA,NA,light,lab mesocosm,no,70,NA,16,NA,Villazan et al.,2013,55.8100839,11.7983438,4.032,15,2011-09-01
78,"Isefjorden, Denmark",HL + N,2011-09 (1 week acclimation),3,14 / (20 L),20,16,8,np,np,70 ± 9 SD,µmol photos m-2 s-1,NA,NA,15,20,np,np,np,np,np,150 µmol aquarium-1 d-1,10 µM,11.2 ± 0.3 μM  SD,didn't check,NA,NA,np,np,np,NA,NA,measured NH4 immediately after addition,NA,light; nutrients,lab mesocosm,no,70,NA,16,NA,Villazan et al.,2013,55.8100839,11.7983438,4.032,15,2011-09-01
78,"Isefjorden, Denmark",HL + NN,2011-09 (1 week acclimation),3,14 / (20 L),20,16,8,np,np,70 ± 9 SD,µmol photos m-2 s-1,NA,NA,15,20,np,np,np,np,np,375 µmol aquarium-1 d-,25 µM,24.7 ± 0.4 μM  SD,didn't check,NA,NA,np,np,np,NA,NA,measured NH4 immediately after addition,NA,light; nutrients,lab mesocosm,no,70,NA,16,NA,Villazan et al.,2013,55.8100839,11.7983438,4.032,15,2011-09-01
97,"Gals Klint, Denmark",18 + C,2007-08 and 2007-10 (2 experiment replicates; 3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,18.3 ± 1.0 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,385 - 474,np,0.13 ± 0.01 SE,5 µmol cm3,NA,"penetrating light at sediment surface, used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3 (use upper so this can be a single value)",NA,temperature,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,18.3,2007-08-01
97,"Gals Klint, Denmark",21 + C,2007-08 and 2007-10 (2 experiment replicates; 3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,20.8 ±  1.0 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,385 - 474,np,0.13 ± 0.01 SE,5 µmol cm3,NA,"penetrating light at sediment surface, used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3 (use upper so this can be a single value)",NA,temperature,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,20.8,2007-08-01
97,"Gals Klint, Denmark",27 + C,2007-11 (3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,27.0 ± 2.6 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,370,np,4.8 ± 2.6 SE,5 µmol cm3,NA,"penetrating light at sediment surface, used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3 (use upper so this can be a single value)",NA,temperature,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,27,2007-11-01
97,"Gals Klint, Denmark",18 + LG,2007-08 and 2007-10 (2 experiment replicates; 3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,18.3 ± 1.0 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,385 - 474,np,0.13 ± 0.01 SE,5 µmol cm3,NA,"used in-text penetrating light at sediment surface (but canopy would get closer to control light (130), used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3  (use upper so this can be a single value)",gracilaria addition,temperature; gracilaria,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,18.3,2007-08-01
97,"Gals Klint, Denmark",21 + LG,2007-08 and 2007-10 (2 experiment replicates; 3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,20.8 ±  1.0 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,385 - 474,np,0.13 ± 0.01 SE,5 µmol cm3,NA,"used in-text penetrating light at sediment surface (but canopy would get closer to control light (130), used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3  (use upper so this can be a single value)",gracilaria addition,temperature; gracilaria,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,20.8,2007-08-01
97,"Gals Klint, Denmark",27 + LG,2007-11 (3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,27.0 ± 2.6 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,370,np,4.8 ± 2.6 SE,5 µmol cm3,NA,"used in-text penetrating light at sediment surface (but canopy would get closer to control light (130), used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3  (use upper so this can be a single value)",gracilaria addition,temperature; gracilaria,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,27,2007-11-01
97,"Gals Klint, Denmark",18 + HG,2007-08 and 2007-10 (2 experiment replicates; 3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,18.3 ± 1.0 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,385 - 474,np,0.13 ± 0.01 SE,5 µmol cm3,NA,"used in-text penetrating light at sediment surface (but canopy would get closer to control light (130), used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3  (use upper so this can be a single value)",gracilaria addition,temperature; gracilaria,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,18.3,2007-08-01
97,"Gals Klint, Denmark",21 + HG,2007-08 and 2007-10 (2 experiment replicates; 3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,20.8 ±  1.0 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,385 - 474,np,0.13 ± 0.01 SE,5 µmol cm3,NA,"used in-text penetrating light at sediment surface (but canopy would get closer to control light (130), used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3  (use upper so this can be a single value)",gracilaria addition,temperature; gracilaria,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,20.8,2007-08-01
97,"Gals Klint, Denmark",27 + HG,2007-11 (3-5 day acclimation),3,25 / (0.04 m2),5.8,12,12,150.9 ± 8.6 SE,µmol photos m-2 s-1,130,µmol photos m-2 s-1,calculate,NA,27.0 ± 2.6 SE,19.6 ± 0.4 SE,np,np,np,np,np,np,np,np,didn't check,NA,NA,370,np,4.8 ± 2.6 SE,5 µmol cm3,NA,"used in-text penetrating light at sediment surface (but canopy would get closer to control light (130), used highest organic matter value between the two experimental setups (e.g., 0.13 instead of 0.02); Fe less than 5 µmol cm3  (use upper so this can be a single value)",gracilaria addition,temperature; gracilaria,lab mesocosm,no,130,150.9,12,NA,Hoffle et al.,2011,55.5,9.66667,5.616,27,2007-11-01
103,"Lillebælt, Island of Fyn, Denmark",19 + C,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,19,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,19,NA
103,"Lillebælt, Island of Fyn, Denmark",19 + LG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,19,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,19,NA
103,"Lillebælt, Island of Fyn, Denmark",19 + HG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,19,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,19,NA
103,"Lillebælt, Island of Fyn, Denmark",23.5 + C,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,23.5,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,23.5,NA
103,"Lillebælt, Island of Fyn, Denmark",23.5 + LG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,23.5,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,23.5,NA
103,"Lillebælt, Island of Fyn, Denmark",23.5 + HG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,23.5,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,23.5,NA
103,"Lillebælt, Island of Fyn, Denmark",26 + C,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,26,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,26,NA
103,"Lillebælt, Island of Fyn, Denmark",26 + LG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,26,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,26,NA
103,"Lillebælt, Island of Fyn, Denmark",26 + HG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,26,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,26,NA
103,"Lillebælt, Island of Fyn, Denmark",30 + C,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,30,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,NA,temperature,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,30,NA
103,"Lillebælt, Island of Fyn, Denmark",30 + LG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,30,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,30,NA
103,"Lillebælt, Island of Fyn, Denmark",30 + HG,np,3,mean: 27.5 / (0.14 m2); range: 25 to 30 / (0.14 m2),np,12,12,120,µmol photos m-2 s-1,np,np,NA,NA,30,np,np,np,np,np,np,np,np,np,didn't check,NA,NA,np,np,0.32 ± 0.29,5 µmol cm3,NA,120 was minimum light; used study 97 Fe because same source sediments and authors; missing salinity and grain size can probably be imputed using study 97 data,gracilaria addition,temperature; gracilaria,lab mesocosm,no,NA,120,12,NA,Martinez-Luscher_Holmer,2010,55.5,9.6666667,5.184,30,NA
113,"Gals Klint, Denmark",AO24,2007-08 (no acclimation time indicated),3,25 / (0.04 m2),12,12,12,350,µmol photos m-2 s-1,np,np,NA,NA,15,18.600000000000001,np,np,np,np,np,NA,np,NA,didn't check,NA,NA,474,np,NA,3 µmol cm3,lots of data I need to figure out how to record,"carbon and nitrogen added, need to figure out how to record these values",aeration,aeration,lab mesocosm,no,NA,350,12,NA,Mascaro et al.,2009,55.5,9.66667,15.12,15,2007-08-01
113,"Gals Klint, Denmark",AO12,2007-08 (no acclimation time indicated),3,25 / (0.04 m2),12,12,12,350,µmol photos m-2 s-1,np,np,NA,NA,15,18.600000000000001,np,np,np,np,np,NA,np,NA,didn't check,NA,NA,474,np,NA,3 µmol cm3,lots of data I need to figure out how to record,"carbon and nitrogen added, need to figure out how to record these values",aeration,aeration,lab mesocosm,no,NA,350,12,NA,Mascaro et al.,2009,55.5,9.66667,15.12,15,2007-08-01
113,"Gals Klint, Denmark",HO24,2007-08 (no acclimation time indicated),3,25 / (0.04 m2),12,12,12,350,µmol photos m-2 s-1,np,np,NA,NA,15,18.600000000000001,np,np,np,np,np,NA,np,NA,didn't check,NA,NA,474,np,NA,3 µmol cm3,lots of data I need to figure out how to record,"carbon and nitrogen added, need to figure out how to record these values",aeration,limited aeration,lab mesocosm,no,NA,350,12,NA,Mascaro et al.,2009,55.5,9.66667,15.12,15,2007-08-01
113,"Gals Klint, Denmark",HO12,2007-08 (no acclimation time indicated),3,25 / (0.04 m2),12,12,12,350,µmol photos m-2 s-1,np,np,NA,NA,15,18.600000000000001,np,np,np,np,np,NA,np,NA,didn't check,NA,NA,474,np,NA,3 µmol cm3,lots of data I need to figure out how to record,"carbon and nitrogen added, need to figure out how to record these values",aeration,limited aeration,lab mesocosm,no,NA,350,12,NA,Mascaro et al.,2009,55.5,9.66667,15.12,15,2007-08-01
116,"Beaufort, North Carolina, USA",L + mature,2004-03 (2 week acclimation),6,6 / (30 x 35 x 14 cm),np,14,10,75 - 100,µmol photos m-2 s-1,np,np,NA,11.07 ± 3.196,mean: 20.36 ± 1.4; range: 18.92 - 25.38,mean: 28.51 ± 1.46; range: 25.12 - 31.61,mean: 7.64 ± 0.52; range: 5.78 - 8.15,mean: 10.75 ± 1.87; range: 4.1 - 16.9,np,np,np,np,np,np,didn't check,NA,NA,np,np,np,np,np,mean DLI was used because there were days of darkness/light,NA,control,lab mesocosm,no,NA,75,14,11.07,Biber et al.,2009,34.71666667,-76.66666667,11.07,20.36,2004-03-01
