studyid,site,treatment,start_date,measurement_date,response (formal name),units,value,upper se,se,exposure time,n,source,notes,numeric_start,numeric_end,seasonal_mean_dli
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-08-10,2017-09-07,shoot density,shoots / m2,377.24192926223,416.357179553266,39.115250291036034,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,5.858356965517242
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-09-07,2017-10-05,shoot density,shoots / m2,343.57238365908,380.593211983248,37.02082832416801,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,5.858356965517242
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-10-05,2017-11-02,shoot density,shoots / m2,351.11562392429,369.276275845129,18.16065192083903,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,5.858356965517242
371,"Port l’Hebert Bay, Nova Scotia",EL40 - 4 shade:3no shade,2017-11-02,2017-11-30,shoot density,shoots / m2,356.161738302377,403.062134807747,46.90039650537,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,5.893632
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-06-15,2017-06-15,shoot density,shoots / m2,399.05759906037,426.297490337791,27.239891277420952,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,2.6611199999999995
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-06-15,2017-07-13,shoot density,shoots / m2,413.866113237095,457.868614757236,44.00250152014098,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,4.563111724137931
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-07-13,2017-08-10,shoot density,shoots / m2,437.755977056694,451.025120875046,13.269143818352006,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,4.563111724137931
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-08-10,2017-09-07,shoot density,shoots / m2,355.471902073455,473.515935064417,118.04403299096202,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,4.563111724137931
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-09-07,2017-10-05,shoot density,shoots / m2,359.803135215478,391.935542547496,32.13240733201803,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,4.563111724137931
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-10-05,2017-11-02,shoot density,shoots / m2,292.888857321537,324.319661012838,31.430803691301037,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,4.563111724137931
371,"Port l’Hebert Bay, Nova Scotia",EL60 - 4 shade:3no shade,2017-11-02,2017-11-30,shoot density,shoots / m2,291.414012167382,332.598369321964,41.18435715458202,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,4.63104
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-06-15,2017-06-15,shoot density,shoots / m2,406.267013030081,416.740130715342,10.473117685261002,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,2.1772800000000005
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-06-15,2017-07-13,shoot density,shoots / m2,417.722568432106,437.98068287021,20.258114438103973,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,4.2794813793103454
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-07-13,2017-08-10,shoot density,shoots / m2,435.464481629381,441.744621464398,6.280139835016996,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,4.2794813793103454
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-08-10,2017-09-07,shoot density,shoots / m2,351.917895289549,389.633969407635,37.716074118086,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,4.2794813793103454
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-09-07,2017-10-05,shoot density,shoots / m2,381.534039877851,398.299733318594,16.765693440743007,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,4.2794813793103454
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-10-05,2017-11-02,shoot density,shoots / m2,348.993381326774,365.746638847052,16.753257520277998,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,4.2794813793103454
371,"Port l’Hebert Bay, Nova Scotia",EL80 - 4 shade:3no shade,2017-11-02,2017-11-30,shoot density,shoots / m2,325.052634583954,367.376039819783,42.323405235829,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,4.35456
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-06-15,2017-06-15,shoot density,shoots / m2,417.651551015753,431.607064490602,13.955513474848999,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,4.225536
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-06-15,2017-07-13,shoot density,shoots / m2,431.18514397476,438.159790732953,6.974646758192989,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,4.643751724137931
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-07-13,2017-08-10,shoot density,shoots / m2,456.579161065824,471.925871917233,15.346710851409,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,4.643751724137931
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-08-10,2017-09-07,shoot density,shoots / m2,380.121358300707,412.212197338548,32.090839037840965,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,4.643751724137931
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-09-07,2017-10-05,shoot density,shoots / m2,363.657128245176,368.538758980064,4.881630734888006,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,4.643751724137931
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-10-05,2017-11-02,shoot density,shoots / m2,342.313340774246,384.865113289632,42.551772515386006,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,4.643751724137931
371,"Port l’Hebert Bay, Nova Scotia",EH40 - 12 shade:2 no shade,2017-11-02,2017-11-30,shoot density,shoots / m2,286.616796779018,295.19636140817,8.579564629152003,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,4.658688
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-06-15,2017-06-15,shoot density,shoots / m2,411.84668989547,427.177700348431,15.331010452961038,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,2.919168
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-06-15,2017-07-13,shoot density,shoots / m2,403.484320557491,428.571428571428,25.087108013936984,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,3.5175724137931033
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-07-13,2017-08-10,shoot density,shoots / m2,404.878048780487,415.331010452961,10.452961672473975,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,3.5175724137931033
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-08-10,2017-09-07,shoot density,shoots / m2,319.8606271777,332.404181184668,12.543554006968009,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,3.5175724137931033
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-09-07,2017-10-05,shoot density,shoots / m2,278.048780487804,296.864111498257,18.815331010453008,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,3.5175724137931033
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-10-05,2017-11-02,shoot density,shoots / m2,231.358885017421,298.257839721254,66.89895470383303,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,3.5175724137931033
371,"Port l’Hebert Bay, Nova Scotia",EH60 - 12 shade:2 no shade,2017-11-02,2017-11-30,shoot density,shoots / m2,213.865147392128,233.312160551539,19.447013159411,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,3.538944
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-06-15,2017-06-15,shoot density,shoots / m2,418.846492363448,428.605746828889,9.75925446544096,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,1.790208
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-06-15,2017-07-13,shoot density,shoots / m2,426.092674087496,447.70489257054,21.61221848304399,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,2.5443310344827585
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-07-13,2017-08-10,shoot density,shoots / m2,384.558115454309,415.226507895417,30.668392441107983,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,2.5443310344827585
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-08-10,2017-09-07,shoot density,shoots / m2,303.308309603934,331.173699197514,27.865389593580005,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,2.5443310344827585
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-09-07,2017-10-05,shoot density,shoots / m2,262.464405902148,317.523168521874,55.05876261972605,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,2.5443310344827585
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-10-05,2017-11-02,shoot density,shoots / m2,228.607817758218,254.391923375614,25.784105617395994,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,2.5443310344827585
371,"Port l’Hebert Bay, Nova Scotia",EH80 - 12 shade:2 no shade,2017-11-02,2017-11-30,shoot density,shoots / m2,169.714493703731,188.588312420538,18.873818716806994,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,2.571264
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-06-15,2017-06-15,shoot density,shoots / m2,411.222444889779,423.953462480516,12.731017590736997,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-06-15,2017-07-13,shoot density,shoots / m2,407.253395680248,418.386773547093,11.133377866845024,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-07-13,2017-08-10,shoot density,shoots / m2,441.349365397461,453.874415497661,12.52505010020002,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-08-10,2017-09-07,shoot density,shoots / m2,381.50745936317,384.290803829881,2.7833444667109575,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-09-07,2017-10-05,shoot density,shoots / m2,320.969717212201,331.407258962368,10.437541750167043,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-10-05,2017-11-02,shoot density,shoots / m2,295.919617011801,320.969717212201,25.05010020039998,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C40 - continuous shade,2017-11-02,2017-11-30,shoot density,shoots / m2,250.243724887058,309.732376717824,59.48865183076603,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,4.99968
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-06-15,2017-06-15,shoot density,shoots / m2,423.953462480516,428.82431529726,4.870852816743991,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-06-15,2017-07-13,shoot density,shoots / m2,432.999331997327,449.699398797594,16.700066800266995,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-07-13,2017-08-10,shoot density,shoots / m2,457.35359608105,470.574482297928,13.220886216878,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-08-10,2017-09-07,shoot density,shoots / m2,331.407258962368,342.540636829213,11.133377866844967,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-09-07,2017-10-05,shoot density,shoots / m2,282.002894678244,310.532175462034,28.52928078379,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-10-05,2017-11-02,shoot density,shoots / m2,251.386105544421,296.615453128479,45.22934758405796,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C60 - continuous shade,2017-11-02,2017-11-30,shoot density,shoots / m2,172.919978099934,215.24460680309,42.32462870315598,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,2.74176
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-06-15,2017-06-15,shoot density,shoots / m2,426.040970830549,435.782676464038,9.741705633489005,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17332,2.2579199999999995
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-06-15,2017-07-13,shoot density,shoots / m2,405.861723446893,438.566020930749,32.70429748385601,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17332,17360,2.2579199999999995
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-07-13,2017-08-10,shoot density,shoots / m2,405.861723446893,469.182810064573,63.32108661768001,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17360,17388,2.2579199999999995
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-08-10,2017-09-07,shoot density,shoots / m2,271.565352928078,302.877978178578,31.31262525049999,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17388,17416,2.2579199999999995
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-09-07,2017-10-05,shoot density,shoots / m2,234.686038744154,249.994433311066,15.308394566912,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17416,17444,2.2579199999999995
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-10-05,2017-11-02,shoot density,shoots / m2,140.748162992651,160.231574259629,19.48341126697801,calculate,6,Figure 1,SE is actually upper IQ range and is not symmetrical,17444,17472,2.2579199999999995
371,"Port l’Hebert Bay, Nova Scotia",C80 - continuous shade,2017-11-02,2017-11-30,shoot density,shoots / m2,143.636899366753,150.501774537401,6.864875170647991,calculate,6,Figure 3,SE is actually upper IQ range and is not symmetrical,17472,17500,2.2579199999999995
